country_ch,country_en,cases,deaths
多哥,Togo,"37,482",275
幾內亞,Guinea,"36,597",442
巴哈馬,Bahamas,"36,029",818
坦尚尼亞,Tanzania,"35,768",841
賴索托,Lesotho,"33,938",699
海地,Haiti,"31,603",837
馬利,Mali,"31,171",737
貝南,Benin,"27,216",163
聖露西亞,Saint Lucia,"27,094",383
剛果共和國,Congo,"24,128",385
東帝汶,East Timor,"22,957",133
索羅門群島,Solomon islands,"21,237",149
布吉納法索,Burkina Faso,"20,853",382
索馬利亞,Somalia,"18,863",930
格瑞那達,Grenada,"18,376",232
聖馬利諾,San Marino,"18,092",115
列支敦斯登,Liechtenstein,"17,935",85
塔吉克,Tajikistan,"17,786",125
南蘇丹,South Sudan,"17,722",138
赤道幾內亞,Equatorial Guinea,"16,087",183
吉布地,Djibouti,"15,690",189
薩摩亞,Samoa,"14,964",29
多米尼克,Dominica,"14,852",68
尼加拉瓜,Nicaragua,"14,690",242
中非,Central Africa,"14,649",113
摩納哥,Monaco,"13,100",57
東加,Tonga,"12,301",12
甘比亞,Gambia,"12,002",365
葉門,Yemen,"11,832","2,149"
萬那杜,Vanuatu,"11,389",14
索馬利蘭,Somaliland,"10,330",619
厄利垂亞,Eritrea,"9,805",103
尼日,Niger,"9,031",310
安地卡及巴布達,Antigua and Barbuda,"8,665",141
幾內亞比索,Guinea-Bissau,"8,369",171
葛摩,Comoros,"8,139",160
獅子山,Sierra Leone,"7,704",125
賴比瑞亞,Liberia,"7,497",294
查德,Chad,"7,426",193
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"7,023",114
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,157",43
聖多美普林西比,Sao Tome and Principe,"6,064",74
庫克群島,Cook Islands,"5,774",1
帛琉,Palau,"5,237",6
諾魯,Nauru,"3,960",1
吉里巴斯,Kiribati,"3,236",13
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,435,2
密克羅尼西亞聯邦,Micronesia,38,0
馬紹爾群島,Marshall Islands,32,0
教廷,Holy See,29,0
紐埃,Niue,20,0
吐瓦魯,Tuvalu,3,0
北韓,North Korea,2,1
