country_ch,country_en,cases,deaths
史瓦帝尼,Eswatini,"73,133","1,416"
蓋亞那,Guyana,"67,591","1,255"
斐濟,Fiji,"65,713",866
馬達加斯加,Madagascar,"65,381","1,398"
貝里斯,Belize,"64,138",680
蘇丹,Sudan,"62,624","4,951"
維德角,Cape Verde,"60,940",405
茅利塔尼亞,Mauritania,"60,127",984
不丹,Bhutan,"59,729",21
敘利亞,Syria,"55,929","3,150"
加彭,Gabon,"47,939",305
塞席爾,Seychelles,"44,847",167
巴布亞紐幾內亞,Papua New Guinea,"44,725",662
安道爾,Andorra,"44,177",153
蒲隆地,Burundi,"42,698",38
多哥,Togo,"37,448",275
幾內亞,Guinea,"36,597",442
巴哈馬,Bahamas,"35,994",818
坦尚尼亞,Tanzania,"35,768",841
賴索托,Lesotho,"33,938",699
海地,Haiti,"31,603",837
馬利,Mali,"31,171",737
貝南,Benin,"27,216",163
聖露西亞,Saint Lucia,"27,049",383
剛果共和國,Congo,"24,128",385
東帝汶,East Timor,"22,957",133
索羅門群島,Solomon islands,"21,237",149
布吉納法索,Burkina Faso,"20,853",382
索馬利亞,Somalia,"18,863",930
格瑞那達,Grenada,"18,376",232
聖馬利諾,San Marino,"18,092",115
列支敦斯登,Liechtenstein,"17,935",85
塔吉克,Tajikistan,"17,786",125
南蘇丹,South Sudan,"17,722",138
赤道幾內亞,Equatorial Guinea,"16,087",183
吉布地,Djibouti,"15,690",189
薩摩亞,Samoa,"14,906",29
多米尼克,Dominica,"14,852",68
尼加拉瓜,Nicaragua,"14,690",242
中非,Central Africa,"14,649",113
摩納哥,Monaco,"13,100",57
東加,Tonga,"12,301",12
甘比亞,Gambia,"12,002",365
葉門,Yemen,"11,824","2,149"
萬那杜,Vanuatu,"11,266",14
索馬利蘭,Somaliland,"10,330",619
厄利垂亞,Eritrea,"9,801",103
尼日,Niger,"9,031",310
安地卡及巴布達,Antigua and Barbuda,"8,656",141
幾內亞比索,Guinea-Bissau,"8,369",171
葛摩,Comoros,"8,100",160
獅子山,Sierra Leone,"7,702",125
賴比瑞亞,Liberia,"7,497",294
查德,Chad,"7,425",193
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"7,019",112
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,102",43
聖多美普林西比,Sao Tome and Principe,"6,043",73
庫克群島,Cook Islands,"5,774",1
帛琉,Palau,"5,237",6
諾魯,Nauru,"3,394",0
吉里巴斯,Kiribati,"3,236",13
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,355,0
密克羅尼西亞聯邦,Micronesia,38,0
教廷,Holy See,29,0
馬紹爾群島,Marshall Islands,26,0
紐埃,Niue,15,0
吐瓦魯,Tuvalu,3,0
北韓,North Korea,2,1
